objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237667430084314661,5.073358949719495e+18,STAR,5112,301,3,63,119.731916073365,12.2833140209225,9.346403e-05,23.4202,0.002267984,1.134228,0.108237,21.26134,0.00085904,1.001514,0.08433756,20.69161,7.001907e-05,0.8730298,0.05834433,20.66072,0.02109562,0.7291006,0.04335609,20.63027,0.01935315,0.803233,0.03224897,2.182762,0.5957146,0.04588699,0.04155159
1237664674326118617,4.4766611316883005e+18,STAR,4470,301,6,66,194.387667249512,38.1095171512634,0.0001409948,22.09821,0.0002206026,1.442696,0.08062379,20.95742,0.09403057,1.229668,0.06282151,20.73611,0.0980201,1.263713,0.04345963,20.64733,0.0002975152,1.249467,0.03229516,20.13621,0.488071,1.139938,0.02402167,1.158585,0.2406769,0.09994888,0.5193901
1237657775000388396,1.1589130319878703e+19,STAR,2864,301,3,102,122.992009729669,31.4260468977822,0.00019069,22.98079,2.199971,1.019828,0.1759491,21.29882,0.07346965,0.868684,0.1370984,20.62046,0.0005425982,0.82455,0.09484401,20.366,0.01035458,0.5990519,0.07047927,20.22161,0.1763095,0.7505281,0.05242363,1.720818,0.7206173,0.2788219,0.1624432
1237663917335904837,7.190089819946766e+18,STAR,4294,301,4,32,112.995463064231,44.8640402881379,9.391555e-05,23.69003,2.11619,1.221335,0.3222626,22.15051,0.008008197,1.146101,0.2511048,20.61572,0.08414887,0.9870428,0.1737131,19.01089,0.02292817,0.9371092,0.1290875,18.1818,0.01409998,1.08349,0.09601737,1.610676,1.612181,1.649456,0.8621578
1237678859015028968,5.250224746348696e+18,STAR,7773,301,3,410,15.3256660153038,12.2933671322987,0.0001465436,20.871,0.244431,1.228499,0.2572411,20.41345,0.1090285,1.266569,0.2004405,20.60779,0.03582217,1.009661,0.1386638,20.56567,0.07868394,0.9608657,0.1030421,20.50213,0.1589977,0.9350727,0.07664438,0.514349,-0.1325626,0.07774925,0.0899334
1237666213533122801,5.255842706345972e+18,STAR,4829,301,1,37,18.810474031804,14.3705144720704,1.362866e-05,21.62138,0.02515671,1.460798,0.1841256,20.8021,0.01430399,1.292059,0.1434694,20.63556,0.0001025072,1.047125,0.09925147,20.57191,1.264384e-05,0.9563427,0.07375448,20.3535,0.1521316,1.125908,0.05485978,0.8599396,0.2107506,0.08914757,0.2373104
1237664292084187559,6.120621792442995e+18,STAR,4381,301,6,221,204.648724987299,15.3126852010442,0.0004519796,21.57068,0.0001461505,1.155514,0.129216,20.77675,0.09364811,1.127119,0.1006842,20.67297,7.718728e-06,0.9472677,0.06965288,20.58512,0.1021989,0.9373149,0.05175955,20.85717,0.3007949,1.16294,0.0384996,0.8224659,0.1348076,0.105751,-0.258791
1237667782316065349,6.176914039257715e+18,STAR,5194,301,3,741,228.638150933216,16.2784339262618,5.985534e-05,25.49798,0.001799331,1.258511,0.1295369,21.36364,0.1185835,1.239948,0.1009342,20.66371,0.06174041,1.072886,0.06982584,20.3826,0.06436437,0.96218,0.05188808,20.35256,0.0009256092,0.8892043,0.0385952,4.162943,0.7310429,0.2990398,0.04333496
1237651274047619383,7.843202482721542e+18,STAR,1350,301,6,363,182.525857332747,68.4887161868886,8.126658e-05,21.06769,0.4195259,1.715118,0.07021967,20.7124,0.2118363,1.479857,0.05471469,20.66989,0.07740873,1.381582,0.03785137,20.70079,0.1709263,1.353435,0.02812762,20.6726,0.0003466201,1.375385,0.02092178,0.3707943,0.05936623,-0.02117538,0.03540039
1237674459876295322,4.2987596044170895e+18,STAR,6749,301,1,128,136.216449074796,-0.49763337564408,0.0001989764,20.95574,0.3321845,1.584598,0.1303718,20.62066,0.1582542,1.308106,0.1015849,20.62983,0.05575269,1.237309,0.07027593,20.69147,0.1273196,1.128721,0.05222255,20.66926,0.3819602,1.206136,0.03884398,0.3638649,0.02214813,-0.04359436,0.03559303
1237657628978446767,9.342884676732471e+18,STAR,2830,301,3,208,139.757937793634,42.062202657394,6.278697e-05,25.23085,8.177706e-05,1.109546,0.07748734,21.95981,0.00148213,1.051891,0.06037761,20.72126,0.02836104,0.8680031,0.04176895,19.46441,0.05554774,0.8002487,0.03103881,18.80071,0.02205613,0.8681491,0.02308717,3.288147,1.257156,1.26759,0.6716461
1237678579824788119,7.419955369244643e+18,STAR,7708,301,3,145,350.192109808535,23.8704961973603,6.662313e-05,22.50169,1.637014,1.695609,0.4310857,20.79591,0.0004095128,1.608244,0.3358991,20.51015,0.1888809,1.418517,0.2323734,20.46194,0.1288597,1.317119,0.1726784,20.77431,0.7845589,1.329522,0.128441,1.800961,0.3892841,0.1079082,-0.2681293
1237664671642157453,9.98562399148496e+18,STAR,4470,301,1,72,195.253527321394,35.9507606081956,4.40881e-05,22.12006,0.2036344,1.435073,0.05048997,21.2762,0.07858446,1.334275,0.03934145,20.75477,6.928604e-06,1.305495,0.02721623,20.68999,0.005163123,1.111574,0.02022457,20.67946,0.6578761,1.047748,0.01504337,0.8550053,0.5335579,0.0717659,0.01571083
1237651191356260669,8.239590997123944e+18,STAR,1331,301,4,161,127.06535216575,48.9845607271339,6.992363e-05,21.78189,0.7396235,1.609951,0.1500364,21.25309,0.3184284,1.713363,0.1169073,20.62157,0.1550882,1.330863,0.08087596,20.32338,0.1895723,1.226136,0.0600995,20.04192,0.7211327,1.376185,0.04470299,0.5619335,0.6675491,0.3189697,0.2968559
1237661384387461327,9.935149272369746e+18,STAR,3704,301,6,162,157.145176938575,39.9767760648516,1.921677e-05,23.69436,1.745567e-05,1.339541,0.05142557,21.55068,0.2019258,1.214854,0.04007045,20.72096,5.567987e-05,1.040365,0.02772055,20.4239,0.009364903,0.9979817,0.02059934,20.1628,0.2643901,1.022519,0.01532213,2.155037,0.8420658,0.3041782,0.2663841
1237679318553788951,6.359146544894333e+18,STAR,7880,301,3,63,3.07770890763476,9.81354825532822,6.702497e-05,22.31986,0.1846009,1.156147,0.6467606,20.72304,0.00241461,1.068238,0.5039515,20.44069,0.0131276,0.8864269,0.3486313,20.41972,8.586101e-05,0.8091437,0.2590704,20.28365,3.062059e-06,0.8818496,0.1927008,1.739628,0.4376736,0.1105232,0.2024403
1237678791350485495,8.643574390293025e+18,STAR,7757,301,5,123,16.3784803500455,27.7456071084973,0.0001211842,25.89586,0.009000388,1.788508,0.2476238,22.06658,0.2551785,1.633802,0.1929468,20.6249,0.003554835,1.491504,0.1334797,19.16976,8.449868e-06,1.416515,0.09918971,18.32915,0.00014657,1.377594,0.07377892,3.883957,1.501144,1.489429,0.866024
1237667143398392210,2.3452523110869504e+18,STAR,5045,301,5,111,127.293945162997,19.7136242918157,0.000214977,24.57278,0.008247638,1.652961,0.1695499,22.36429,0.1521854,1.402492,0.1321121,20.6887,0.1076404,1.385886,0.09139456,19.37134,8.589213e-05,1.394673,0.06791595,18.71482,0.1087283,1.376986,0.05051699,2.245934,1.716307,1.340832,0.6739273
1237661871861072168,5.274901081851449e+18,STAR,3818,301,2,83,167.27560440969,42.8119949938484,0.0001091338,21.28272,0.6230843,1.985019,0.05195728,20.92861,0.1242626,1.351627,0.04048476,20.76782,0.00163482,1.474627,0.02800717,20.68231,0.0684199,1.233621,0.02081233,20.56251,0.6704851,1.583323,0.01548055,0.3655796,0.1732731,0.09270096,0.1251373
1237655691945247595,1.04149896084327e+18,STAR,2379,301,3,163,233.618119396821,-1.99537019107381,8.608605e-05,25.07593,0.01048723,1.217943,0.6042005,21.8076,0.2359799,1.171486,0.470789,20.45236,0.1114879,0.946842,0.3256896,19.36039,0.006471762,0.920063,0.2420223,19.30914,0.4194545,0.9507921,0.1800201,3.401737,1.50034,1.175644,0.1132431
1237669517975749220,6.942521855275454e+18,STAR,5598,301,4,70,353.139538744376,7.54498679923541,8.945059e-05,23.94788,0.08010259,0.8952292,0.3859313,21.26909,0.06115339,0.8756095,0.3007151,20.54292,0.07204221,0.7484227,0.2080333,20.26408,0.04708787,0.7348299,0.154591,20.02835,0.000426731,0.7724429,0.1149873,2.764006,0.8188496,0.3322811,0.2753353
1237663547435843948,7.193557128942211e+18,STAR,4208,301,3,93,117.986348705686,46.6009709822477,8.27469e-05,23.99172,0.5372235,1.282353,0.3112437,22.11041,0.0003202301,1.251754,0.242519,20.60242,0.0002274142,1.337585,0.1677735,19.43002,0.00505987,0.9566142,0.1246737,18.89543,0.0004030667,1.167829,0.09273433,1.950031,1.582741,1.215504,0.5665226
1237648720682418568,4.312222575248036e+18,STAR,756,301,2,254,153.920435534594,-0.503173422567161,0.0004954536,22.09251,0.2374125,1.370745,0.1775413,20.88934,0.126817,1.219816,0.138339,20.66497,0.07870322,1.063246,0.09570227,20.60788,0.006895546,1.062495,0.07111704,20.42951,0.002684026,1.08208,0.05289801,1.242376,0.2670002,0.08167648,0.1965904
1237671261729391872,5.452882880736023e+18,STAR,6004,301,4,23,119.46443052888,7.83986374951535,0.0002848329,24.44081,4.730947e-05,1.258167,0.07236803,21.03336,0.08137851,1.353793,0.05638868,20.73674,0.2114277,1.128713,0.03900943,20.49193,0.0004354305,1.050235,0.02898818,20.70029,0.07828052,0.9681562,0.02156188,3.423431,0.3139973,0.2548275,-0.2009335
1237665565535502770,6.647426950888706e+18,STAR,4678,301,2,122,219.692145720744,20.4212572568005,4.157523e-05,21.83593,0.2652465,1.464447,0.1335292,20.85678,0.08080086,1.404243,0.104045,20.71716,0.125639,1.232342,0.07197786,20.66669,0.03914711,1.156087,0.05348726,20.59134,0.292692,1.308858,0.0397847,1.00864,0.1716881,0.06895447,0.0890522
1237667430643007508,7.214798869946978e+18,STAR,5112,301,4,396,170.598992234015,27.0344526012552,3.169062e-05,24.55627,0.03930606,1.200078,0.07838359,22.44959,0.1514111,1.192374,0.06107596,20.71703,0.2940766,1.063706,0.04225207,19.56371,0.5164617,0.9344668,0.03139782,19.79446,0.0001344107,1.022189,0.02335421,2.123987,1.751383,1.164183,-0.2227116
1237664818218008790,4.477853002846458e+18,STAR,4504,301,2,226,195.15020845537,36.4479199411535,0.000339826,21.84149,0.2359997,1.387235,0.04691925,20.89706,0.003162935,1.24333,0.03655916,20.6886,0.000378938,1.195214,0.02529146,20.54984,0.1680769,1.062152,0.01879427,20.2505,0.1091733,1.031498,0.01397948,0.9547939,0.2197304,0.1452541,0.3041592
1237667429561270558,7.272250275704099e+18,STAR,5112,301,2,274,151.039444727842,22.8074704211488,0.0001307744,21.04123,0.1589908,1.221211,0.1846648,20.60383,0.06959884,1.11342,0.1438895,20.67282,0.0001551181,0.951018,0.09954211,20.72956,0.122099,0.7915779,0.07397045,20.55506,0.1927769,0.8510298,0.05502043,0.4781685,-0.02464104,-0.03116608,0.1934528
1237668272437789014,6.60689675324885e+18,STAR,5308,301,4,109,208.394575953062,18.6978144688093,0.0001309185,21.61952,0.1547094,1.059707,0.1211974,20.83839,0.2484011,1.043457,0.09443622,20.72472,0.0002613893,0.9812995,0.06533054,20.72298,0.04242653,0.8447831,0.04854759,20.64191,0.1942678,0.9286689,0.03611049,0.807888,0.1427803,0.01852417,0.09350586
1237655499206427155,4.5398176298636616e+18,STAR,2334,301,4,130,215.317062792471,-1.84719857902911,2.5866e-05,22.2776,0.2359659,1.429087,0.216403,20.69778,0.2711841,1.414003,0.1686198,20.64266,0.198206,1.300143,0.1166504,20.60263,0.08617418,1.129041,0.08668372,20.3121,1.166199,1.21324,0.06447677,1.627604,0.1070881,0.06999397,0.3127365
